path,method_guess,grup,host_terkait,apk_sumber,terverifikasi,dipakai_runtime,catatan
/api/v1/users/pin/challenges,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK (PIN SDK bersama)
/api/v1/users/pin/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK
/api/v1/users/pins/allowed,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK
/api/v2/challenges/{challenge-id}/pin-page,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK
/api/v2/users/pins/reset/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK
/api/v2/users/pins/setup/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,keduanya,ya (string statis),BELUM TERVERIFIKASI,IDENTIK di kedua APK
/api/v1/users/pins/otp/init,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v3/partner/identity/auth,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v3/users/pins/reset/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v3/users/pins/setup/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/users/pins/reset/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoFood-only,ya (string statis),BELUM TERVERIFIKASI,v1 reset hanya di GoFood
/api/v1/users/pins/setup/tokens,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoFood-only,ya (string statis),BELUM TERVERIFIKASI,v1 setup hanya di GoFood
/v2/users/pin/update,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoFood-only,ya (string statis),BELUM TERVERIFIKASI,—
/v3/users/pin/update,BELUM TERVERIFIKASI,auth-pin,BELUM TERVERIFIKASI,GoFood-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/auth/token,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/login/complete,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Flow login merchant-app (GOPAY-TODO-NET-3)
/api/v1/totp,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/profile,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/profile/verify-fr,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/profile/verify-otp,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/user/kyc-submission-status,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/user/safety-meter,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/registration/status,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/kyc/token,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/auth/register,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/profile,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/users,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/users/,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/users/bulk,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/users/validate,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/users/kyc/upgrade/eligibility,BELUM TERVERIFIKASI,auth-profil,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/unified-histories,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,PRIORITAS integrasi
/api/v1/unified-histories/filter,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,PRIORITAS integrasi
/api/v2/histories,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/history-filter,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/orders,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/orders/,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Varian trailing-slash
/api/orders/histories,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/orders/summary,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/reports/on-demand,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/reports/transactions/job,BELUM TERVERIFIKASI,histori,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/balance/home,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/balance/multi-wallet,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,PRIORITAS integrasi
/api/v1/finance/balance/payout,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/balance/sof,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v2/finance/balance/home,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/earning/home,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,Laporan §5.2 tulis grup finance/earning
/api/v1/finance/gopay-limit,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/interests/gptu,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/finance/pills,BELUM TERVERIFIKASI,keuangan,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/transactions/,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/transactions/charge,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/transactions/charge/qris-link,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,PRIORITAS integrasi (QRIS link)
/api/transactions/cpm/payment,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,CPM = customer-presented mode
/api/transactions/refund,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/v1/qris/shared,BELUM TERVERIFIKASI,transaksi-qris,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,PRIORITAS integrasi (QRIS shared)
/api/payouts/manual,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
/api/payouts/options,BELUM TERVERIFIKASI,payout-bank,BELUM TERVERIFIKASI,GoPay-only,ya (string statis),BELUM TERVERIFIKASI,—
